WlsPositionXEcefMeters	WlsPositionYEcefMeters	WlsPositionZEcefMeters
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677823.217	-4321159.76	3839089.668
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.936	-4321159.155	3839089.281
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.565	-4321158.696	3839088.723
-2677822.893	-4321159.251	3839087.765
-2677822.893	-4321159.251	3839087.765
-2677822.893	-4321159.251	3839087.765
-2677822.893	-4321159.251	3839087.765
-2677822.893	-4321159.251	3839087.765
-2677822.893	-4321159.251	3839087.765
